currency,bucket,midpoint_years,base_rate_pct,classification,scenario,shock_bps,shocked_rate_pct
TRY,ON,0.001370,40.000000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,44.000000
TRY,ON-1M,0.041667,40.000000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,44.000000
TRY,1M-3M,0.166667,39.800000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,43.800000
TRY,3M-6M,0.375000,39.500000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,43.500000
TRY,6M-9M,0.625000,39.000000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,43.000000
TRY,9M-1Y,0.875000,38.200000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,42.200000
TRY,1Y-1.5Y,1.250000,37.500000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,41.500000
TRY,1.5Y-2Y,1.750000,36.800000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,40.800000
TRY,2Y-3Y,2.500000,35.500000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,39.500000
TRY,3Y-4Y,3.500000,34.000000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,38.000000
TRY,4Y-5Y,4.500000,32.500000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,36.500000
TRY,5Y-6Y,5.500000,31.000000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,35.000000
TRY,6Y-7Y,6.500000,29.800000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,33.800000
TRY,7Y-8Y,7.500000,28.800000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,32.800000
TRY,8Y-9Y,8.500000,28.000000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,32.000000
TRY,9Y-10Y,9.500000,27.500000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,31.500000
TRY,10Y-15Y,12.500000,26.500000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,30.500000
TRY,15Y-20Y,17.500000,25.000000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,29.000000
TRY,>20Y,25.000000,24.000000,synthetic_curve_calibrated_to_public_market_context,parallel_up,400.000000,28.000000
TRY,ON,0.001370,40.000000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,36.000000
TRY,ON-1M,0.041667,40.000000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,36.000000
TRY,1M-3M,0.166667,39.800000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,35.800000
TRY,3M-6M,0.375000,39.500000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,35.500000
TRY,6M-9M,0.625000,39.000000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,35.000000
TRY,9M-1Y,0.875000,38.200000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,34.200000
TRY,1Y-1.5Y,1.250000,37.500000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,33.500000
TRY,1.5Y-2Y,1.750000,36.800000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,32.800000
TRY,2Y-3Y,2.500000,35.500000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,31.500000
TRY,3Y-4Y,3.500000,34.000000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,30.000000
TRY,4Y-5Y,4.500000,32.500000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,28.500000
TRY,5Y-6Y,5.500000,31.000000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,27.000000
TRY,6Y-7Y,6.500000,29.800000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,25.800000
TRY,7Y-8Y,7.500000,28.800000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,24.800000
TRY,8Y-9Y,8.500000,28.000000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,24.000000
TRY,9Y-10Y,9.500000,27.500000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,23.500000
TRY,10Y-15Y,12.500000,26.500000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,22.500000
TRY,15Y-20Y,17.500000,25.000000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,21.000000
TRY,>20Y,25.000000,24.000000,synthetic_curve_calibrated_to_public_market_context,parallel_down,-400.000000,20.000000
TRY,ON,0.001370,40.000000,synthetic_curve_calibrated_to_public_market_context,steepener,-324.796268,36.752037
TRY,ON-1M,0.041667,40.000000,synthetic_curve_calibrated_to_public_market_context,steepener,-318.834252,36.811657
TRY,1M-3M,0.166667,39.800000,synthetic_curve_calibrated_to_public_market_context,steepener,-300.717727,36.792823
TRY,3M-6M,0.375000,39.500000,synthetic_curve_calibrated_to_public_market_context,steepener,-271.753665,36.782463
TRY,6M-9M,0.625000,39.000000,synthetic_curve_calibrated_to_public_market_context,steepener,-238.930470,36.610695
TRY,9M-1Y,0.875000,38.200000,synthetic_curve_calibrated_to_public_market_context,steepener,-208.095931,36.119041
TRY,1Y-1.5Y,1.250000,37.500000,synthetic_curve_calibrated_to_public_market_context,steepener,-165.311299,35.846887
TRY,1.5Y-2Y,1.750000,36.800000,synthetic_curve_calibrated_to_public_market_context,steepener,-114.160873,35.658391
TRY,2Y-3Y,2.500000,35.500000,synthetic_curve_calibrated_to_public_market_context,steepener,-48.480550,35.015195
TRY,3Y-4Y,3.500000,34.000000,synthetic_curve_calibrated_to_public_market_context,steepener,21.967098,34.219671
TRY,4Y-5Y,4.500000,32.500000,synthetic_curve_calibrated_to_public_market_context,steepener,76.831782,33.268318
TRY,5Y-6Y,5.500000,31.000000,synthetic_curve_calibrated_to_public_market_context,steepener,119.560440,32.195604
TRY,6Y-7Y,6.500000,29.800000,synthetic_curve_calibrated_to_public_market_context,steepener,152.837553,31.328376
TRY,7Y-8Y,7.500000,28.800000,synthetic_curve_calibrated_to_public_market_context,steepener,178.753795,30.587538
TRY,8Y-9Y,8.500000,28.000000,synthetic_curve_calibrated_to_public_market_context,steepener,198.937384,29.989374
TRY,9Y-10Y,9.500000,27.500000,synthetic_curve_calibrated_to_public_market_context,steepener,214.656379,29.646564
TRY,10Y-15Y,12.500000,26.500000,synthetic_curve_calibrated_to_public_market_context,steepener,243.857524,28.938575
TRY,15Y-20Y,17.500000,25.000000,synthetic_curve_calibrated_to_public_market_context,steepener,262.510055,27.625101
TRY,>20Y,25.000000,24.000000,synthetic_curve_calibrated_to_public_market_context,steepener,268.851380,26.688514
TRY,ON,0.001370,40.000000,synthetic_curve_calibrated_to_public_market_context,flattener,399.801404,43.998014
TRY,ON-1M,0.041667,40.000000,synthetic_curve_calibrated_to_public_market_context,flattener,393.989691,43.939897
TRY,1M-3M,0.166667,39.800000,synthetic_curve_calibrated_to_public_market_context,flattener,376.329885,43.563299
TRY,3M-6M,0.375000,39.500000,synthetic_curve_calibrated_to_public_market_context,flattener,348.096010,42.980960
TRY,6M-9M,0.625000,39.000000,synthetic_curve_calibrated_to_public_market_context,flattener,316.100290,42.161003
TRY,9M-1Y,0.875000,38.200000,synthetic_curve_calibrated_to_public_market_context,flattener,286.043093,41.060431
TRY,1Y-1.5Y,1.250000,37.500000,synthetic_curve_calibrated_to_public_market_context,flattener,244.337065,39.943371
TRY,1.5Y-2Y,1.750000,36.800000,synthetic_curve_calibrated_to_public_market_context,flattener,194.476145,38.744761
TRY,2Y-3Y,2.500000,35.500000,synthetic_curve_calibrated_to_public_market_context,flattener,130.451629,36.804516
TRY,3Y-4Y,3.500000,34.000000,synthetic_curve_calibrated_to_public_market_context,flattener,61.779971,34.617800
TRY,4Y-5Y,4.500000,32.500000,synthetic_curve_calibrated_to_public_market_context,flattener,8.298431,32.582984
TRY,5Y-6Y,5.500000,31.000000,synthetic_curve_calibrated_to_public_market_context,flattener,-33.353034,30.666470
TRY,6Y-7Y,6.500000,29.800000,synthetic_curve_calibrated_to_public_market_context,flattener,-65.791228,29.142088
TRY,7Y-8Y,7.500000,28.800000,synthetic_curve_calibrated_to_public_market_context,flattener,-91.054119,27.889459
TRY,8Y-9Y,8.500000,28.000000,synthetic_curve_calibrated_to_public_market_context,flattener,-110.728878,26.892711
TRY,9Y-10Y,9.500000,27.500000,synthetic_curve_calibrated_to_public_market_context,flattener,-126.051596,26.239484
TRY,10Y-15Y,12.500000,26.500000,synthetic_curve_calibrated_to_public_market_context,flattener,-154.516578,24.954834
TRY,15Y-20Y,17.500000,25.000000,synthetic_curve_calibrated_to_public_market_context,flattener,-172.698877,23.273011
TRY,>20Y,25.000000,24.000000,synthetic_curve_calibrated_to_public_market_context,flattener,-178.880337,22.211197
TRY,ON,0.001370,40.000000,synthetic_curve_calibrated_to_public_market_context,short_up,499.828796,44.998288
TRY,ON-1M,0.041667,40.000000,synthetic_curve_calibrated_to_public_market_context,short_up,494.818699,44.948187
TRY,1M-3M,0.166667,39.800000,synthetic_curve_calibrated_to_public_market_context,short_up,479.594729,44.595947
TRY,3M-6M,0.375000,39.500000,synthetic_curve_calibrated_to_public_market_context,short_up,455.255181,44.052552
TRY,6M-9M,0.625000,39.000000,synthetic_curve_calibrated_to_public_market_context,short_up,427.672664,43.276727
TRY,9M-1Y,0.875000,38.200000,synthetic_curve_calibrated_to_public_market_context,short_up,401.761287,42.217613
TRY,1Y-1.5Y,1.250000,37.500000,synthetic_curve_calibrated_to_public_market_context,short_up,365.807814,41.158078
TRY,1.5Y-2Y,1.750000,36.800000,synthetic_curve_calibrated_to_public_market_context,short_up,322.824263,40.028243
TRY,2Y-3Y,2.500000,35.500000,synthetic_curve_calibrated_to_public_market_context,short_up,267.630714,38.176307
TRY,3Y-4Y,3.500000,34.000000,synthetic_curve_calibrated_to_public_market_context,short_up,208.431010,36.084310
TRY,4Y-5Y,4.500000,32.500000,synthetic_curve_calibrated_to_public_market_context,short_up,162.326234,34.123262
TRY,5Y-6Y,5.500000,31.000000,synthetic_curve_calibrated_to_public_market_context,short_up,126.419798,32.264198
TRY,6Y-7Y,6.500000,29.800000,synthetic_curve_calibrated_to_public_market_context,short_up,98.455838,30.784558
TRY,7Y-8Y,7.500000,28.800000,synthetic_curve_calibrated_to_public_market_context,short_up,76.677483,29.566775
TRY,8Y-9Y,8.500000,28.000000,synthetic_curve_calibrated_to_public_market_context,short_up,59.716484,28.597165
TRY,9Y-10Y,9.500000,27.500000,synthetic_curve_calibrated_to_public_market_context,short_up,46.507245,27.965072
TRY,10Y-15Y,12.500000,26.500000,synthetic_curve_calibrated_to_public_market_context,short_up,21.968467,26.719685
TRY,15Y-20Y,17.500000,25.000000,synthetic_curve_calibrated_to_public_market_context,short_up,6.294071,25.062941
TRY,>20Y,25.000000,24.000000,synthetic_curve_calibrated_to_public_market_context,short_up,0.965227,24.009652
TRY,ON,0.001370,40.000000,synthetic_curve_calibrated_to_public_market_context,short_down,-499.828796,35.001712
TRY,ON-1M,0.041667,40.000000,synthetic_curve_calibrated_to_public_market_context,short_down,-494.818699,35.051813
TRY,1M-3M,0.166667,39.800000,synthetic_curve_calibrated_to_public_market_context,short_down,-479.594729,35.004053
TRY,3M-6M,0.375000,39.500000,synthetic_curve_calibrated_to_public_market_context,short_down,-455.255181,34.947448
TRY,6M-9M,0.625000,39.000000,synthetic_curve_calibrated_to_public_market_context,short_down,-427.672664,34.723273
TRY,9M-1Y,0.875000,38.200000,synthetic_curve_calibrated_to_public_market_context,short_down,-401.761287,34.182387
TRY,1Y-1.5Y,1.250000,37.500000,synthetic_curve_calibrated_to_public_market_context,short_down,-365.807814,33.841922
TRY,1.5Y-2Y,1.750000,36.800000,synthetic_curve_calibrated_to_public_market_context,short_down,-322.824263,33.571757
TRY,2Y-3Y,2.500000,35.500000,synthetic_curve_calibrated_to_public_market_context,short_down,-267.630714,32.823693
TRY,3Y-4Y,3.500000,34.000000,synthetic_curve_calibrated_to_public_market_context,short_down,-208.431010,31.915690
TRY,4Y-5Y,4.500000,32.500000,synthetic_curve_calibrated_to_public_market_context,short_down,-162.326234,30.876738
TRY,5Y-6Y,5.500000,31.000000,synthetic_curve_calibrated_to_public_market_context,short_down,-126.419798,29.735802
TRY,6Y-7Y,6.500000,29.800000,synthetic_curve_calibrated_to_public_market_context,short_down,-98.455838,28.815442
TRY,7Y-8Y,7.500000,28.800000,synthetic_curve_calibrated_to_public_market_context,short_down,-76.677483,28.033225
